OBJECTID,MUID,SEQN,SNAM,S5ID,CMPPCT,NLAYERS,HYDGRP,SOL_ZMX,ANION_EXCL,SOL_CRK,TEXTURE,SOL_Z1,SOL_BD1,SOL_AWC1,SOL_K1,SOL_CBN1,CLAY1,SILT1,SAND1,ROCK1,SOL_ALB1,USLE_K1,SOL_EC1,SOL_Z2,SOL_BD2,SOL_AWC2,SOL_K2,SOL_CBN2,CLAY2,SILT2,SAND2,ROCK2,SOL_ALB2,USLE_K2,SOL_EC2,SOL_Z3,SOL_BD3,SOL_AWC3,SOL_K3,SOL_CBN3,CLAY3,SILT3,SAND3,ROCK3,SOL_ALB3,USLE_K3,SOL_EC3,SOL_Z4,SOL_BD4,SOL_AWC4,SOL_K4,SOL_CBN4,CLAY4,SILT4,SAND4,ROCK4,SOL_ALB4,USLE_K4,SOL_EC4,SOL_Z5,SOL_BD5,SOL_AWC5,SOL_K5,SOL_CBN5,CLAY5,SILT5,SAND5,ROCK5,SOL_ALB5,USLE_K5,SOL_EC5,SOL_Z6,SOL_BD6,SOL_AWC6,SOL_K6,SOL_CBN6,CLAY6,SILT6,SAND6,ROCK6,SOL_ALB6,USLE_K6,SOL_EC6,SOL_Z7,SOL_BD7,SOL_AWC7,SOL_K7,SOL_CBN7,CLAY7,SILT7,SAND7,ROCK7,SOL_ALB7,USLE_K7,SOL_EC7,SOL_Z8,SOL_BD8,SOL_AWC8,SOL_K8,SOL_CBN8,CLAY8,SILT8,SAND8,ROCK8,SOL_ALB8,USLE_K8,SOL_EC8,SOL_Z9,SOL_BD9,SOL_AWC9,SOL_K9,SOL_CBN9,CLAY9,SILT9,SAND9,ROCK9,SOL_ALB9,USLE_K9,SOL_EC9,SOL_Z10,SOL_BD10,SOL_AWC10,SOL_K10,SOL_CBN10,CLAY10,SILT10,SAND10,ROCK10,SOL_ALB10,USLE_K10,SOL_EC10,SOL_CAL1,SOL_CAL2,SOL_CAL3,SOL_CAL4,SOL_CAL5,SOL_CAL6,SOL_CAL7,SOL_CAL8,SOL_CAL9,SOL_CAL10,SOL_PH1,SOL_PH2,SOL_PH3,SOL_PH4,SOL_PH5,SOL_PH6,SOL_PH7,SOL_PH8,SOL_PH9,SOL_PH10
7,VT030,1,MISSISQUOI,VT0040,12,4,A,1651,0.5,0.5,LS-LS-GR--COS-GR--COS,127,1.1,0.15,550,2.03,3.5,16.09,80.41,10.48,0.01,0.17,0,304.8,1.42,0.11,500,0.68,3.5,16.09,80.41,11.56,0.06,0.17,0,889,1.52,0.03,650,0.23,2.5,6.43,91.07,15.69,0.15,0.17,0,1651,1.52,0.02,500,0.08,2.5,6.43,91.07,30,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,VT030,9,WAREHAM,MA0025,4,4,C,1524,0.5,0.5,LFS-S-COS-COS,152.4,1.1,0.14,750,2.03,2,16.87,81.13,5.6,0.01,0.17,0,406.4,1.4,0.05,1050,0.58,1.5,1.53,96.97,7.02,0.08,0.17,0,914.4,1.5,0.04,900,0.29,1.5,6.49,92.01,7.48,0.13,0.17,0,1524,1.5,0.03,750,0.29,1,6.53,92.47,10,0.13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,VT030,18,WEIDER,VT0111,3,3,B,1651,0.5,0.5,SIL-VFSL-S,152.4,1.33,0.18,15,1.45,10,57.09,32.91,3.83,0.01,0.32,0,635,1.38,0.13,85,0.48,10,25.63,64.37,3.97,0.09,0.43,0,1651,1.45,0.04,650,0.16,1.5,1.53,96.97,10,0.17,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,VT028,10,FARMINGTON,NY0094,3,3,C,482.6000061,0.5,0.5,L-L-UWB,203.2,1.25,0.16,33,2.33,18.5,38.54,42.96,10.29,0.01,0.32,0,457.2,1.35,0.13,23,0.78,18.5,38.54,42.96,17.44,0.05,0.32,0,482.6,2.5,0.01,600,0.26,5,25,70,98,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,VT028,19,ST. ALBANS,VT0003,2,3,B,1651,0.5,0.5,SL-SY--SL-SY--LCOS,177.8,1.13,0.17,270,3.2,6.5,30.37,63.13,11.75,0.01,0.24,0,482.6,1.23,0.11,260,1.07,5,30.69,64.31,31.01,0.03,0.24,0,1651,1.45,0.06,450,0.36,2.5,17.25,80.25,30,0.12,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,VT029,2,BINGHAMVILLE,VT0041,16,3,D,1651,0.5,0.5,SIL-SI-SIL,279.4,1.35,0.22,14,2.91,7.5,70.69,21.81,1.29,0.01,0.49,0,685.8,1.35,0.23,3.9,0.97,7.5,86.52,5.98,1.29,0.04,0.64,0,1651,1.35,0.21,1.8,0.32,12.5,73.09,14.41,1.29,0.12,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,VT023,11,PALATINE,NY0006,3,4,B,736.5999756,0.5,0.5,SIL-CN--SIL-CNV-SIL-UWB,279.4,1.25,0.19,26,3.49,11.5,56.14,32.36,7.51,0.01,0.32,0,457.2,1.35,0.14,15,0.29,11.5,56.14,32.36,20.93,0.13,0.28,0,711.2,1.83,0.09,6.8,0.29,11.5,56.14,32.36,51.86,0.13,0.2,0,736.6,2.5,0.01,500,0.1,5,25,70,98,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,VT023,13,SWANTON,ME0017,3,3,C,1651,0.5,0.5,FSL-FSL-SIC,177.8,1.15,0.19,210,3.49,8.5,26.89,64.61,1.1,0.01,0.28,0,558.8,1.3,0.15,150,1.02,8.5,26.89,64.61,1.24,0.03,0.32,0,1651,1.55,0.18,0.47,0.15,45,47.63,7.37,0,0.17,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,VT023,16,HINESBURG,VT0008,1,3,C,1651,0.5,0.5,FSL-S-VFSL,228.6,1.35,0.19,450,2.62,3,35.21,61.79,5.25,0.01,0.24,0,660.4,1.4,0.07,600,0.87,3,1.51,95.49,5.44,0.04,0.24,0,1651,1.5,0.13,70,0.29,9.5,25.77,64.73,2.89,0.13,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,VT023,19,LIVINGSTON,VT0018,1,4,D,1574.800049,0.5,0.5,C-C-C-C,177.8,1.35,0.19,1.7,5.81,62.5,26.24,11.26,0,0.01,0.49,0,914.4,1.38,0.13,0.14,0.58,75,17.58,7.42,0,0.08,0.49,0,1168.4,1.38,0.12,0.1,0.19,75,17.58,7.42,0,0.16,0.49,0,1574.8,1.4,0.11,0.07,0.06,75,17.58,7.42,0,0.2,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
